📡  电信频道,#genre#
湖北卫视,http:///udp/239.77.1.174:5146
湖北卫视,http:///udp/239.77.0.95:5146
湖北卫视,http:///udp/239.77.0.128:5146
辽宁卫视,http:///udp/239.77.1.103:5146
辽宁卫视,http:///udp/239.77.0.123:5146
辽宁卫视,http:///udp/239.77.0.161:5146
贵州卫视,http:///udp/239.77.1.221:5146
贵州卫视,http:///udp/239.77.0.230:5146
四川卫视,http:///udp/239.77.1.215:5146
四川卫视,http:///udp/239.77.0.159:5146
四川卫视,http:///udp/239.77.0.163:5146
河南卫视,http:///udp/239.77.1.229:5146
河南卫视,http:///udp/239.77.0.17:5146
云南卫视,http:///udp/239.253.43.37:5146
云南卫视,http:///udp/239.253.43.100:5146
重庆卫视,http:///udp/239.77.1.162:5146
重庆卫视,http:///udp/239.77.1.210:5146
重庆卫视,http:///udp/239.77.0.182:5146
河北卫视,http:///udp/239.77.1.214:5146
河北卫视,http:///udp/239.77.0.148:5146
东南卫视,http:///udp/239.77.1.104:5146
东南卫视,http:///udp/239.77.0.146:5146
广西卫视,http:///udp/239.253.43.36:5146
广西卫视,http:///udp/239.77.0.139:5146
吉林卫视,http:///udp/239.77.1.111:5146
吉林卫视,http:///udp/239.77.0.150:5146
陕西卫视,http:///udp/239.77.0.68:5146
陕西卫视,http:///udp/239.77.1.54:5146
山西卫视,http:///udp/239.77.0.69:5146
山西卫视,http:///udp/239.77.1.74:5146
青海卫视,http:///udp/239.77.0.71:5146
青海卫视,http:///udp/239.77.1.70:5146
海南卫视,http:///udp/239.253.43.35:5146
海南卫视,http:///udp/239.253.43.101:5146
宁夏卫视,http:///udp/239.77.0.73:5146
宁夏卫视,http:///udp/239.77.1.47:5146
西藏卫视,http:///udp/239.77.0.74:5146
西藏卫视,http:///udp/239.77.1.49:5146
新疆卫视,http:///udp/239.77.0.75:5146
新疆卫视,http:///udp/239.77.1.53:5146
甘肃卫视,http:///udp/239.77.0.189:5146
兵团卫视,http:///udp/239.77.0.77:5146
兵团卫视,http:///udp/239.77.1.80:5146
厦门卫视,http:///udp/239.77.0.96:5146
三沙卫视,http:///udp/239.253.43.113:5146
延边卫视,http:///udp/239.77.0.10:5146
延边卫视,http:///udp/239.77.1.99:5146
内蒙古卫视,http:///udp/239.77.0.70:5146
内蒙古卫视,http:///udp/239.77.1.55:5146
黑龙江卫视,http:///udp/239.77.1.6:5146
黑龙江卫视,http:///udp/239.77.1.179:5146
黑龙江卫视,http:///udp/239.77.0.93:5146
黑龙江卫视,http:///udp/239.77.0.124:5146
CETV1,http:///udp/239.77.1.222:5146
CETV1,http:///udp/239.77.0.200:5146
CETV2,http:///udp/239.77.0.28:5146
CETV2,http:///udp/239.77.1.69:5146
CETV4,http:///udp/239.77.1.200:5146
CETV4,http:///udp/239.253.43.40:5146
CETV4,http:///udp/239.253.43.114:5146
CETV早期教育,http:///udp/239.77.0.180:5146
CCTV兵器科技,http:///udp/239.253.43.18:5146
CCTV兵器科技,http:///udp/239.253.43.9:5146
CCTV电视指南,http:///udp/239.253.43.19:5146
CCTV电视指南,http:///udp/239.253.43.10:5146
CCTV风云足球,http:///udp/239.253.43.20:5146
CCTV风云足球,http:///udp/239.253.43.14:5146
CCTV央视台球,http:///udp/239.253.43.21:5146
CCTV央视台球,http:///udp/239.253.43.11:5146
CCTV高尔夫网球,http:///udp/239.253.43.22:5146
CCTV高尔夫网球,http:///udp/239.253.43.12:5146
CCTV女性时尚,http:///udp/239.253.43.23:5146
CCTV女性时尚,http:///udp/239.253.43.8:5146
CCTV世界地理,http:///udp/239.253.43.24:5146
CCTV世界地理,http:///udp/239.253.43.7:5146
CCTV怀旧剧场,http:///udp/239.253.43.25:5146
CCTV怀旧剧场,http:///udp/239.253.43.5:5146
CCTV风云剧场,http:///udp/239.253.43.26:5146
CCTV风云剧场,http:///udp/239.253.43.16:5146
CCTV文化精品,http:///udp/239.253.43.27:5146
CCTV文化精品,http:///udp/239.253.43.13:5146
CCTV第一剧场,http:///udp/239.253.43.28:5146
CCTV第一剧场,http:///udp/239.253.43.15:5146
CCTV风云音乐,http:///udp/239.253.43.29:5146
CCTV风云音乐,http:///udp/239.253.43.6:5146
CHC高清电影,http:///udp/239.77.0.27:5146
辽宁新动漫,http:///udp/239.77.1.136:5146
北京卡酷少儿,http:///udp/239.77.0.79:5146
北京卡酷少儿,http:///udp/239.77.1.50:5146
湖南茶频道,http:///udp/239.77.0.15:5146
湖南茶频道,http:///udp/239.77.1.207:5146
湖南快乐垂钓,http:///udp/239.77.0.145:5146
湖南快乐垂钓,http:///udp/239.77.1.119:5146
湖南金鹰纪实,http:///udp/239.77.1.217:5146
湖南金鹰纪实,http:///udp/239.77.0.160:5146
湖南金鹰纪实,http:///udp/239.77.0.162:5146
上海纪实人文,http:///udp/239.77.1.216:5146
上海纪实人文,http:///udp/239.77.0.147:5146
上海游戏竞技,http:///udp/239.77.0.211:5146
华数求索纪录,http:///udp/239.77.0.21:5146
华数求索生活,http:///udp/239.77.0.153:5146
河南梨园频道,http:///udp/239.77.1.100:5146
河南武术世界,http:///udp/239.77.1.108:5146
河南文物宝库,http:///udp/239.77.1.120:5146
湖南金鹰卡通,http:///udp/239.77.0.80:5146
湖南金鹰卡通,http:///udp/239.77.1.52:5146
湖南金鹰卡通,http:///udp/239.77.0.164:5146
上海哈哈炫动,http:///udp/239.77.0.81:5146
上海哈哈炫动,http:///udp/239.77.1.139:5146
江苏优漫卡通,http:///udp/239.77.0.222:5146
江苏优漫卡通,http:///udp/239.77.1.79:5146
山东教育卫视,http:///udp/239.77.0.83:5146
山东教育卫视,http:///udp/239.77.1.35:5146
中国交通,http:///udp/239.77.1.249:5146
中国天气,http:///udp/239.77.1.143:5146
睛彩青少,http:///udp/239.77.1.22:5146
睛彩竞技,http:///udp/239.77.1.20:5146
睛彩篮球,http:///udp/239.77.1.22:5146
睛彩广场舞,http:///udp/239.77.1.23:5146
CCTV1,http:///udp/239.77.1.17:5146
CCTV1,http:///udp/239.77.1.144:5146
CCTV1,http:///udp/239.77.0.86:5146
CCTV1,http:///udp/239.77.0.129:5146
CCTV2,http:///udp/239.77.1.158:5146
CCTV2,http:///udp/239.253.43.17:5146
CCTV2,http:///udp/239.77.0.137:5146
CCTV3,http:///udp/239.77.0.169:5146
CCTV3,http:///udp/239.77.0.175:5146
CCTV4,http:///udp/239.77.1.163:5146
CCTV4,http:///udp/239.77.1.166:5146
CCTV4,http:///udp/239.77.0.78:5146
CCTV5,http:///udp/239.77.0.170:5146
CCTV5,http:///udp/239.77.0.177:5146
CCTV5+,http:///udp/239.77.0.87:5146
CCTV5+,http:///udp/239.77.1.31:5146
CCTV5+,http:///udp/239.77.1.147:5146
CCTV6,http:///udp/239.77.0.171:5146
CCTV6,http:///udp/239.77.0.178:5146
CCTV7,http:///udp/239.77.1.159:5146
CCTV7,http:///udp/239.77.1.167:5146
CCTV7,http:///udp/239.77.0.138:5146
CCTV8,http:///udp/239.77.0.172:5146
CCTV8,http:///udp/239.77.0.181:5146
CCTV9,http:///udp/239.77.1.160:5146
CCTV9,http:///udp/239.77.1.168:5146
CCTV9,http:///udp/239.77.0.135:5146
CCTV10,http:///udp/239.77.1.113:5146
CCTV10,http:///udp/239.77.1.169:5146
CCTV10,http:///udp/239.77.0.134:5146
CCTV11,http:///udp/239.77.1.238:5146
CCTV12,http:///udp/239.77.1.109:5146
CCTV12,http:///udp/239.77.1.170:5146
CCTV12,http:///udp/239.77.0.136:5146
CCTV13,http:///udp/239.77.0.188:5146
CCTV13,http:///udp/239.253.43.196:5146
CCTV14,http:///udp/239.77.1.161:5146
CCTV14,http:///udp/239.77.1.171:5146
CCTV14,http:///udp/239.77.0.133:5146
CCTV15,http:///udp/239.77.1.239:5146
CCTV16,http:///udp/239.77.0.165:5146
CCTV16,http:///udp/239.77.1.76:5146
CCTV16 4k,http:///udp/239.77.1.98:5146
CCTV17,http:///udp/239.77.1.121:5146
CCTV17,http:///udp/239.77.0.198:5146
CCTV-4K,http:///udp/239.77.0.194:5146
CCTV-4K,http:///udp/239.77.0.174:5146
CGTN英语,http:///udp/239.77.0.199:5146
CGTN西班牙语,http:///udp/239.77.0.221:5146
CGTN法语高,http:///udp/239.77.0.228:5146
CGTN阿拉伯语,http:///udp/239.253.43.200:5146
CGTN俄语,http:///udp/239.253.43.201:5146
广东卫视,http:///udp/239.77.1.19:5146
广东卫视,http:///udp/239.77.1.152:5146
广东卫视,http:///udp/239.77.0.84:5146
广东卫视,http:///udp/239.77.0.166:5146
广东珠江,http:///udp/239.77.0.1:5146
广东珠江,http:///udp/239.77.0.114:5146
广东新闻,http:///udp/239.77.0.173:5146
广东公共,http:///udp/239.77.0.225:5146
广东体育,http:///udp/239.77.0.112:5146
广东体育,http:///udp/239.77.0.168:5146
经济科教,http:///udp/239.77.0.85:5146
经济科教,http:///udp/239.77.0.167:5146
大湾区卫视,http:///udp/239.77.0.215:5146
大湾区卫视,http:///udp/239.77.0.9:5146
大湾区卫视,http:///udp/239.77.1.12:5146
广东影视,http:///udp/239.77.0.217:5146
广东少儿,http:///udp/239.77.0.250:5146
嘉佳卡通,http:///udp/239.77.0.179:5146
岭南戏曲,http:///udp/239.77.0.16:5146
现代教育,http:///udp/239.77.0.18:5146
广东移动,http:///udp/239.77.0.20:5146
广东综艺4K,http:///udp/239.77.1.237:5146
广州综合,http:///udp/239.253.43.71:5146
广州新闻,http:///udp/239.253.43.72:5146
广州影视,http:///udp/239.253.43.73:5146
广州法治,http:///udp/239.253.43.74:5146
南国都市4K,http:///udp/239.253.43.99:5146
深圳卫视,http:///udp/239.77.1.148:5146
深圳卫视,http:///udp/239.77.0.92:5146
深圳卫视,http:///udp/239.77.0.130:5146
深圳都市,http:///udp/239.77.1.176:5146
深圳都市,http:///udp/239.77.1.124:5146
深圳电视剧,http:///udp/239.77.1.177:5146
深圳电视剧,http:///udp/239.77.1.125:5146
深圳财经生活,http:///udp/239.77.1.242:5146
深圳娱乐,http:///udp/239.77.1.36:5146
深圳体育健康,http:///udp/239.77.1.128:5146
深圳体育健康,http:///udp/239.77.1.140:5146
深圳少儿,http:///udp/239.77.1.244:5146
深圳公共,http:///udp/239.77.1.178:5146
深圳公共,http:///udp/239.77.1.126:5146
深圳宝安,http:///udp/239.77.1.67:5146
深圳龙岗,http:///udp/239.77.1.223:5146
深圳众创,http:///udp/239.77.1.247:5146
深圳移动电视,http:///udp/239.77.1.175:5146
潮州综合,http:///udp/239.253.43.70:5146
潮州民生,http:///udp/239.253.43.75:5146
梅州综合,http:///udp/239.253.43.123:5146
梅州客家,http:///udp/239.253.43.124:5146
韶关新闻,http:///udp/239.77.0.117:5146
韶关生活,http:///udp/239.77.0.119:5146
湛江新闻,http:///udp/239.77.0.141:5146
湛江公共,http:///udp/239.77.0.140:5146
揭阳综合,http:///udp/239.77.0.229:5146
揭阳公共,http:///udp/239.77.0.251:5146
江门综合,http:///udp/239.77.0.201:5146
江门生活,http:///udp/239.77.0.202:5146
惠州综合,http:///udp/239.77.1.232:5146
惠州生活,http:///udp/239.77.1.233:5146
汕尾新闻,http:///udp/239.77.0.25:5146
汕尾文化,http:///udp/239.77.0.187:5146
珠海综合,http:///udp/239.77.0.155:5146
珠海生活,http:///udp/239.77.0.154:5146
肇庆综合,http:///udp/239.253.43.1:5146
肇庆生活,http:///udp/239.253.43.2:5146
河源综合,http:///udp/239.253.43.213:5146
河源公共,http:///udp/239.253.43.214:5146
汕头综合,http:///udp/239.77.1.130:5146
汕头综合,http:///udp/239.253.43.45:5146
汕头生活,http:///udp/239.77.1.131:5146
汕头生活,http:///udp/239.253.43.46:5146
汕头文体,http:///udp/239.77.1.132:5146
汕头文体,http:///udp/239.253.43.47:5146
清远综合,http:///udp/239.253.43.33:5146
清远公共,http:///udp/239.253.43.34:5146
云浮综合,http:///udp/239.77.0.253:5146
云浮文旅,http:///udp/239.77.0.254:5146
茂名综合,http:///udp/239.77.0.206:5146
茂名公共,http:///udp/239.77.0.207:5146
佛山综合,http:///udp/239.253.43.57:5146
佛山公共,http:///udp/239.253.43.53:5146
佛山影视,http:///udp/239.253.43.56:5146
佛山顺德,http:///udp/239.253.43.55:5146
佛山南海,http:///udp/239.253.43.54:5146
中山综合,http:///udp/239.253.43.62:5146
香山文化,http:///udp/239.253.43.63:5146
东莞新闻,http:///udp/239.253.43.104:5146
东莞生活,http:///udp/239.253.43.105:5146
湖南卫视,http:///udp/239.77.1.5:5146
湖南卫视,http:///udp/239.77.1.129:5146
湖南卫视,http:///udp/239.77.0.88:5146
湖南卫视,http:///udp/239.77.0.127:5146
浙江卫视,http:///udp/239.77.1.33:5146
浙江卫视,http:///udp/239.77.1.150:5146
浙江卫视,http:///udp/239.77.0.89:5146
浙江卫视,http:///udp/239.77.0.125:5146
江苏卫视,http:///udp/239.77.1.18:5146
江苏卫视,http:///udp/239.77.1.149:5146
江苏卫视,http:///udp/239.77.0.90:5146
江苏卫视,http:///udp/239.77.0.126:5146
东方卫视,http:///udp/239.77.1.218:5146
东方卫视,http:///udp/239.77.1.156:5146
东方卫视,http:///udp/239.77.0.98:5146
安徽卫视,http:///udp/239.77.1.92:5146
安徽卫视,http:///udp/239.77.1.157:5146
安徽卫视,http:///udp/239.77.0.183:5146
北京卫视,http:///udp/239.77.1.4:5146
北京卫视,http:///udp/239.77.1.151:5146
北京卫视,http:///udp/239.77.0.91:5146
天津卫视,http:///udp/239.77.1.141:5146
天津卫视,http:///udp/239.77.1.182:5146
天津卫视,http:///udp/239.77.0.97:5146
天津卫视,http:///udp/239.77.0.131:5146
山东卫视,http:///udp/239.77.1.142:5146
山东卫视,http:///udp/239.77.1.153:5146
山东卫视,http:///udp/239.77.0.94:5146
山东卫视,http:///udp/239.77.0.132:5146
江西卫视,http:///udp/239.77.1.219:5146
江西卫视,http:///udp/239.77.0.149:5146
湖北卫视,http:///udp/239.77.1.93:5146
湖北卫视,http:///udp/239.77.1.174:5146
湖北卫视,http:///udp/239.77.0.95:5146
湖北卫视,http:///udp/239.77.0.128:5146
辽宁卫视,http:///udp/239.77.1.103:5146
辽宁卫视,http:///udp/239.77.0.123:5146
辽宁卫视,http:///udp/239.77.0.161:5146
贵州卫视,http:///udp/239.77.1.221:5146
贵州卫视,http:///udp/239.77.0.230:5146
四川卫视,http:///udp/239.77.1.215:5146
四川卫视,http:///udp/239.77.0.159:5146
四川卫视,http:///udp/239.77.0.163:5146
河南卫视,http:///udp/239.77.1.229:5146
河南卫视,http:///udp/239.77.0.17:5146
云南卫视,http:///udp/239.253.43.37:5146
云南卫视,http:///udp/239.253.43.100:5146
重庆卫视,http:///udp/239.77.1.162:5146
重庆卫视,http:///udp/239.77.1.210:5146
重庆卫视,http:///udp/239.77.0.182:5146
河北卫视,http:///udp/239.77.1.214:5146
河北卫视,http:///udp/239.77.0.148:5146
东南卫视,http:///udp/239.77.1.104:5146
东南卫视,http:///udp/239.77.0.146:5146
广西卫视,http:///udp/239.253.43.36:5146
广西卫视,http:///udp/239.77.0.139:5146
吉林卫视,http:///udp/239.77.1.111:5146
吉林卫视,http:///udp/239.77.0.150:5146
陕西卫视,http:///udp/239.77.0.68:5146
陕西卫视,http:///udp/239.77.1.54:5146
山西卫视,http:///udp/239.77.0.69:5146
山西卫视,http:///udp/239.77.1.74:5146
青海卫视,http:///udp/239.77.0.71:5146
青海卫视,http:///udp/239.77.1.70:5146
海南卫视,http:///udp/239.253.43.35:5146
海南卫视,http:///udp/239.253.43.101:5146
宁夏卫视,http:///udp/239.77.0.73:5146
宁夏卫视,http:///udp/239.77.1.47:5146
西藏卫视,http:///udp/239.77.0.74:5146
西藏卫视,http:///udp/239.77.1.49:5146
新疆卫视,http:///udp/239.77.0.75:5146
新疆卫视,http:///udp/239.77.1.53:5146
甘肃卫视,http:///udp/239.77.0.189:5146
兵团卫视,http:///udp/239.77.0.77:5146
兵团卫视,http:///udp/239.77.1.80:5146
厦门卫视,http:///udp/239.77.0.96:5146
三沙卫视,http:///udp/239.253.43.113:5146
延边卫视,http:///udp/239.77.0.10:5146
延边卫视,http:///udp/239.77.1.99:5146
内蒙古卫视,http:///udp/239.77.0.70:5146
内蒙古卫视,http:///udp/239.77.1.55:5146
黑龙江卫视,http:///udp/239.77.1.6:5146
黑龙江卫视,http:///udp/239.77.1.179:5146
黑龙江卫视,http:///udp/239.77.0.93:5146
黑龙江卫视,http:///udp/239.77.0.124:5146
CETV1,http:///udp/239.77.1.222:5146
CETV1,http:///udp/239.77.0.200:5146
CETV2,http:///udp/239.77.0.28:5146
CETV2,http:///udp/239.77.1.69:5146
CETV4,http:///udp/239.77.1.200:5146
CETV4,http:///udp/239.253.43.40:5146
CETV4,http:///udp/239.253.43.114:5146
CETV早期教育,http:///udp/239.77.0.180:5146
CCTV兵器科技,http:///udp/239.253.43.18:5146
CCTV兵器科技,http:///udp/239.253.43.9:5146
CCTV电视指南,http:///udp/239.253.43.19:5146
CCTV电视指南,http:///udp/239.253.43.10:5146
CCTV风云足球,http:///udp/239.253.43.20:5146
CCTV风云足球,http:///udp/239.253.43.14:5146
CCTV央视台球,http:///udp/239.253.43.21:5146
CCTV央视台球,http:///udp/239.253.43.11:5146
CCTV高尔夫网球,http:///udp/239.253.43.22:5146
CCTV高尔夫网球,http:///udp/239.253.43.12:5146
CCTV女性时尚,http:///udp/239.253.43.23:5146
CCTV女性时尚,http:///udp/239.253.43.8:5146
CCTV世界地理,http:///udp/239.253.43.24:5146
CCTV世界地理,http:///udp/239.253.43.7:5146
CCTV怀旧剧场,http:///udp/239.253.43.25:5146
CCTV怀旧剧场,http:///udp/239.253.43.5:5146
CCTV风云剧场,http:///udp/239.253.43.26:5146
CCTV风云剧场,http:///udp/239.253.43.16:5146
CCTV文化精品,http:///udp/239.253.43.27:5146
CCTV文化精品,http:///udp/239.253.43.13:5146
CCTV第一剧场,http:///udp/239.253.43.28:5146
CCTV第一剧场,http:///udp/239.253.43.15:5146
CCTV风云音乐,http:///udp/239.253.43.29:5146
CCTV风云音乐,http:///udp/239.253.43.6:5146
CHC高清电影,http:///udp/239.77.0.27:5146
辽宁新动漫,http:///udp/239.77.1.136:5146
北京卡酷少儿,http:///udp/239.77.0.79:5146
北京卡酷少儿,http:///udp/239.77.1.50:5146
湖南茶频道,http:///udp/239.77.0.15:5146
湖南茶频道,http:///udp/239.77.1.207:5146
湖南快乐垂钓,http:///udp/239.77.0.145:5146
湖南快乐垂钓,http:///udp/239.77.1.119:5146
湖南金鹰纪实,http:///udp/239.77.1.217:5146
湖南金鹰纪实,http:///udp/239.77.0.160:5146
湖南金鹰纪实,http:///udp/239.77.0.162:5146
上海纪实人文,http:///udp/239.77.1.216:5146
上海纪实人文,http:///udp/239.77.0.147:5146
上海游戏竞技,http:///udp/239.77.0.211:5146
华数求索纪录,http:///udp/239.77.0.21:5146
华数求索生活,http:///udp/239.77.0.153:5146
河南梨园频道,http:///udp/239.77.1.100:5146
河南武术世界,http:///udp/239.77.1.108:5146
河南文物宝库,http:///udp/239.77.1.120:5146
湖南金鹰卡通,http:///udp/239.77.0.80:5146
湖南金鹰卡通,http:///udp/239.77.1.52:5146
湖南金鹰卡通,http:///udp/239.77.0.164:5146
上海哈哈炫动,http:///udp/239.77.0.81:5146
上海哈哈炫动,http:///udp/239.77.1.139:5146
江苏优漫卡通,http:///udp/239.77.0.222:5146
江苏优漫卡通,http:///udp/239.77.1.79:5146
山东教育卫视,http:///udp/239.77.0.83:5146
山东教育卫视,http:///udp/239.77.1.35:5146
中国交通,http:///udp/239.77.1.249:5146
中国天气,http:///udp/239.77.1.143:5146
睛彩青少,http:///udp/239.77.1.22:5146
睛彩竞技,http:///udp/239.77.1.20:5146
睛彩篮球,http:///udp/239.77.1.22:5146
睛彩广场舞,http:///udp/239.77.1.23:5146
